,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,h_alpha_eqw,nii_6584_eqw
25695,766,52247,293,b'GALAXY',b'STARFORMING',0.03536322,119.2309,29.55791,11.61255,41.29737,-13.84004,-4.974207
25696,766,52247,416,b'GALAXY',b'STARFORMING',0.1202166,179.5647,36.89386,12.12476,66.39805,-20.37838,-10.51773
25697,766,52247,572,b'GALAXY',b'STARBURST',0.1210145,392.3922,116.1766,176.8288,71.17606,-77.3805,-14.52471
25698,767,52252,65,b'GALAXY',b'STARFORMING',0.06041277,150.1677,27.53361,12.50447,73.91514,-10.81419,-5.403401
25699,767,52252,311,b'GALAXY',b'STARBURST',0.04783074,399.4576,116.4236,309.5751,34.73753,-78.41971,-6.424384
25700,768,52281,328,b'GALAXY',b'STARFORMING',0.1985696,177.2562,30.32318,13.06249,75.91984,-17.09273,-6.616939
25701,768,52281,528,b'GALAXY',b'STARFORMING',0.05448975,160.6773,44.79797,112.1626,82.23058,-11.58309,-5.756986
25702,769,54530,68,b'GALAXY',b'STARBURST',0.1437204,334.1299,92.87274,100.003,71.41993,-64.21722,-14.70155
25703,769,54530,96,b'GALAXY',b'STARFORMING',0.1397783,309.8396,54.20883,19.88545,173.1755,-14.759,-8.254626
25704,769,54530,360,b'GALAXY',b'',0.04678888,20.3951,7.602967,46.68246,28.16431,-1.117227,-1.441675
25705,769,52282,459,b'GALAXY',b'STARFORMING',0.06248313,167.056,38.2447,26.82863,61.69149,-16.92678,-6.007622
25706,769,52282,460,b'GALAXY',b'STARFORMING',0.06654936,337.0107,91.11063,79.92786,180.02,-17.35298,-9.013268
25707,769,52282,547,b'GALAXY',b'STARBURST',0.02568807,393.2813,128.6426,329.3769,32.57143,-44.45122,-3.823122
25708,770,52282,113,b'GALAXY',b'STARBURST',0.1598514,281.65,82.04121,73.63374,79.38896,-47.57509,-14.42049
25709,770,52282,150,b'GALAXY',b'STARFORMING',0.1286603,353.3764,68.6433,50.59473,245.872,-29.43542,-19.52663
25710,770,52282,189,b'GALAXY',b'STARFORMING',0.03124629,328.0294,98.75365,58.50434,90.14394,-18.34534,-5.139526
25711,770,52282,483,b'GALAXY',b'STARFORMING',0.1215504,94.81828,19.40983,14.51557,44.07801,-7.736792,-3.616455
25712,771,52370,75,b'GALAXY',b'STARBURST',0.1322344,1055.87,282.567,833.3388,107.2961,-260.7588,-26.87476
25713,772,52375,253,b'GALAXY',b'STARFORMING',0.2542982,176.6097,31.79064,39.22764,135.0074,-20.66802,-15.2835
25714,772,52375,288,b'GALAXY',b'STARFORMING',0.03059583,264.5634,66.6709,36.9518,84.30783,-21.99772,-7.177939
25715,772,52375,293,b'GALAXY',b'STARFORMING',0.03393635,84.9104,26.53678,79.39314,6.429444,-26.01607,-1.724319
25716,772,52375,361,b'GALAXY',b'STARFORMING',0.1518216,416.1245,113.5291,81.72744,178.6129,-41.34542,-17.10563
